text,published_at,cleaned
프로필 클릭하고 스포츠 패스로 동아시안컵 전 경기를 즐겨보세요!,2025-07-07T15:06:23Z,프로필 클릭하고 스포츠 패스로 동아시안컵 전 경기를 즐겨보세요
이건 먼축구?,2025-07-08T16:19:24Z,이건 먼축구
문선민 뭔가 2프로부족하네..,2025-07-08T16:13:59Z,문선민 뭔가 2프로부족하네
"어시스트 패스 수준이나 마무리가 여전히 옛날 수준일때가 많네..  그치만, 더운 날씨에 고생많으셨습니다.",2025-07-08T16:13:38Z,어시스트 패스 수준이나 마무리가 옛날 수준일때가 많네 그치만 더운 날씨에 고생많으셨습니다
이동경에게 필포든이 보인다 심지어 외모도 닮음,2025-07-08T16:12:55Z,이동경에게 필포든이 보인다 외모도 닮음
경기장 어딘가요?,2025-07-08T16:12:12Z,경기장 어딘가요
역시 jjanggae 들은 안돼,2025-07-08T16:09:21Z,역시 jjanggae 들은 안돼
박스 안에서 혼자서 마무리 못한 점이 조금 아쉬웠다 선수들이 자신감을 가졌으면.,2025-07-08T16:07:50Z,박스 안에서 혼자서 마무리 못한 점이 아쉬웠다 선수들이 자신감을 가졌으면
웬일로 반칙 안하네 중국,2025-07-08T16:05:49Z,웬일로 반칙 안하네 중국
진짜 최선을 다해준 선수들 고맙습니다. 자랑스러워요.,2025-07-08T16:03:10Z,진짜 최선을 다해준 선수들 고맙습니다 자랑스러워요
수준이 높은 나라와 겨뤄야지...,2025-07-08T16:01:51Z,수준이 높은 나라와 겨뤄야지
간절함이 없네,2025-07-08T16:00:05Z,간절함이 없네
축구경기가 이렇게 무관심 할수가...,2025-07-08T15:59:18Z,축구경기가 이렇게 무관심 할수가
단순하게 보면 손흥민 없는 국대 베스트 급으로 잘했다.,2025-07-08T15:58:57Z,단순하게 보면 손흥민 없는 국대 베스트 급으로 잘했다
최용수가 다시 보이네요,2025-07-08T15:56:24Z,최용수가 다시 보이네요
"나라 꼬라지가 개판인데, 축구에 뭔 관심이 있겠냐..",2025-07-08T15:55:06Z,나라 꼬라지가 개판인데 축구에 뭔 관심이 있겠냐
와 땀으로 범벅이네. 고생 많으셨습니다.........,2025-07-08T15:54:58Z,땀으로 범벅이네 고생 많으셨습니다
천룡인 상대로 축구를 한다구우? 드럼통 가려고오오,2025-07-08T15:54:44Z,천룡인 상대로 축구를 한다구우 드럼통 가려고오오
이동경 문선민 존나 잘하네 ㅋㅋㅋㅋㅋㅋ 누구 보다 낫다,2025-07-08T15:50:59Z,이동경 문선민 존나 잘하네 ㅋㅋㅋㅋㅋㅋ 보다 낫다
선수들의 건투를 빕니다.,2025-07-08T15:50:20Z,선수들의 건투를 빕니다
하는줄도 몰랐네,2025-07-08T15:48:41Z,하는줄도 몰랐네
동네 축구 보는거 같네,2025-07-08T15:47:20Z,동네 축구 보는거 같네
우리가 잘한게아니고 중국이 지지리도 못했네,2025-07-08T15:44:38Z,우리가 잘한게아니고 중국이 지지리도 못했네
이동경 골 넣으니까 중국애들 다 쳐다보네 ㅋㅋ,2025-07-08T15:43:33Z,이동경 골 넣으니까 중국애들 다 쳐다보네 ㅋㅋ
벤투감독 데려와줘요 제발,2025-07-08T15:41:18Z,벤투감독 데려와줘요 제발
"패스 개그치해서 두골 날렸네
역시 재미없는 한국축구",2025-07-08T15:38:38Z,패스 개그치해서 두골 날렸네 역시 재미없는 한국축구
속도 0.95 가 정속도네 요즘 왜이렇게 편집함? 짱깨식 편집인가?,2025-07-08T15:38:30Z,속도 095 정속도네 요즘 왜이렇게 편집함 짱깨식 편집인가
"중국 축구 개못하네
내가 시진핑이면 국제대회 사비로 하라고 한다",2025-07-08T15:36:35Z,중국 축구 개못하네 내가 시진핑이면 국제대회 사비로 하라고 한다
진짜 더럽게 못한다 ㅋㅋㅋㅋㅋㅋ 패스봐라 어디다 줄지 아주 친절하게 보고 딱 줘버리네 ㅋㅋㅋㅋㅋㅋ 일본애들 하는거 이제 진지하게 배워라 몽규 명보 아주 그냥 ㅋㅋㅋㅋ 감독이나 선수나 한심하네,2025-07-08T15:34:49Z,진짜 더럽게 못한다 ㅋㅋㅋㅋㅋㅋ 패스봐라 어디다 줄지 아주 친절하게 보고 줘버리네 ㅋㅋㅋㅋㅋㅋ 일본애들 하는거 이제 진지하게 배워라 몽규 명보 아주 그냥 ㅋㅋㅋㅋ 감독이나 선수나 한심하네
관중도 없고…의미가 있나,2025-07-08T15:32:09Z,관중도 없고의미가 있나
중공은 고교 선발인가요?,2025-07-08T15:31:58Z,중공은 고교 선발인가요
홍명보 ㅋㅋㅋ 제발 정신 차리고 살아라,2025-07-08T15:28:09Z,홍명보 ㅋㅋㅋ 제발 정신 차리고 살아라
이동경 첫골 진짜 잘넣었다,2025-07-08T15:26:24Z,이동경 첫골 진짜 잘넣었다
와진짜 저나라는 뭐이리 축구를 못하지 볼때마다 새롭네 ..,2025-07-08T15:26:02Z,와진짜 저나라는 뭐이리 축구를 못하지 볼때마다 새롭네
골대앞에서 수비있는데 패스하는건 여전하네,2025-07-08T15:25:49Z,골대앞에서 수비있는데 패스하는건 여전하네
잔디 좋네 ㅋ,2025-07-08T15:25:40Z,잔디 좋네 ㅋ
ㅈㄴ 못하네 ㅋㅋ,2025-07-08T15:23:53Z,ㅈㄴ 못하네 ㅋㅋ
"1:41 명박
6:46 식빵
8:15 스페이스X",2025-07-08T15:22:51Z,141 명박 646 식빵 815 스페이스x
응원합니다 대한민국. 우승하자구요!,2025-07-08T15:20:18Z,응원합니다 대한민국 우승하자구요
"중국 까는글 비아냥 하나 없는거보니
관리 알만함",2025-07-08T15:18:12Z,중국 까는글 비아냥 없는거보니 관리 알만함
근데 중국은 우리나라 보다 자본력도 많을텐데 왜 맨날 한국한테 쩔쩔 매는거임? 그돈으로 좋은 감코진 데려오면 한국이랑 비비거나 이길수도 있을텐데,2025-07-08T15:17:13Z,근데 중국은 우리나라 보다 자본력도 많을텐데 맨날 한국한테 쩔쩔 매는거임 그돈으로 좋은 감코진 데려오면 한국이랑 비비거나 이길수도 있을텐데
방금 쇼츠보고 중국인 유튜버  반응보고  왔는데 관객수보고 중국 충격받을듯 한국이 중국상대로 죽일듯이 이기려고한게 아니라  그냥 무시 느낌 날만하네ㅋㅋ 2군에다가 관객수ㅋㅋㅋ 일본이였으면 그나마 타이틀 느낌 있어서 좀많았을듯,2025-07-08T15:16:11Z,방금 쇼츠보고 중국인 유튜버 반응보고 왔는데 관객수보고 중국 충격받을듯 한국이 중국상대로 죽일듯이 이기려고한게 아니라 그냥 무시 느낌 날만하네ㅋㅋ 2군에다가 관객수ㅋㅋㅋ 일본이였으면 그나마 타이틀 느낌 있어서 좀많았을듯
