text,published_at,cleaned,sentiment
나성범 김도영 김선빈 복귀 시켜라...도대체 언제까지 휴식 갖게하냐??,2025-07-09T01:01:39Z,나성범 김도영 김선빈 복귀 시켜라도대체 언제까지 휴식 갖게하냐,neutral
오늘 상백이가 선발이지만 상태 봐서 션찮으면 바로 롱 릴리프 대체 하겠지. 현종이야 한화 타선이 대충해도 털거 같은데 뚜껑은 열어 봐야지.,2025-07-09T01:01:02Z,오늘 상백이가 선발이지만 상태 봐서 션찮으면 롱 릴리프 대체 하겠지 현종이야 한화 타선이 대충해도 털거 같은데 뚜껑은 열어 봐야지,neutral
"이재원은 오다가 중간에 뭐 지인이라도 만났나?
야구선수는 치지 못해서가 아니라 뛰지 못하면 은퇴해야된다.",2025-07-09T00:54:46Z,이재원은 오다가 중간에 뭐 지인이라도 만났나 야구선수는 치지 못해서가 아니라 뛰지 못하면 은퇴해야된다,neutral
9:09 심우준 팬 등장!!! 응원에 힘입어 쭉쭉 뻗어나가주길🙏🏻심우준 화이팅❤,2025-07-09T00:50:29Z,909 심우준 팬 등장 응원에 쭉쭉 뻗어나가주길심우준 화이팅,negative
오늘은 엄상백인데 쉬어가는 경기 ?,2025-07-09T00:41:04Z,오늘은 엄상백인데 쉬어가는 경기,positive
마지막에 moon동주 잡아주면서 moon 클로즈업..,2025-07-09T00:33:40Z,마지막에 moon동주 잡아주면서 moon 클로즈업,positive
ㄹㅇ 개종수좀 그만좀써라,2025-07-09T00:27:01Z,ㄹㅇ 개종수좀 그만좀써라,neutral
김태연 수비 진짜 하,2025-07-09T00:23:26Z,김태연 수비 진짜,neutral
임기영이 개그치 못하네  은퇴해라,2025-07-09T00:13:29Z,임기영이 개그치 못하네 은퇴해라,neutral
리얼이 어제 귀국 했던데.. 그렇게 됐다. 잘 가라,2025-07-09T00:07:58Z,리얼이 어제 귀국 했던데 그렇게 됐다 잘 가라,positive
임기영 진짜 뭐이렇게 두들겨 맞냐,2025-07-09T00:02:28Z,임기영 진짜 뭐이렇게 두들겨 맞냐,neutral
아니 윤영철 너무 빨리 내리는거아니냐,2025-07-08T23:54:32Z,윤영철 너무 빨리 내리는거아니냐,negative
3회 부터 포기하고 투수 개판으로 운영하네 진짜 총력전한다며,2025-07-08T23:51:01Z,3회 포기하고 투수 개판으로 운영하네 진짜 총력전한다며,neutral
기)한화 이번에 꼭 우승해라ㅎㅎㅅ🎉,2025-07-08T23:50:04Z,기한화 이번에 꼭 우승해라ㅎㅎㅅ,positive
1:47 스노우볼,2025-07-08T23:43:17Z,147 스노우볼,positive
한화 화이팅!! 가을 야구 가즈앗,2025-07-08T23:33:03Z,한화 화이팅 가을 야구 가즈앗,positive
채은성노시환 화이팅 너무잘했다,2025-07-08T23:19:54Z,채은성노시환 화이팅 너무잘했다,negative
"타이거즈 fa 희대의 먹튀 임기영!!!!  추잡스러워서 이런 얘기 안할려고 했는데 경기 끝나고 덕아웃에 애들 데리고 오던데
어지간히 좀 하고 프로야구 선수면 본인들 실력에나 집중해라!!!!하 씨브레.. 최형우도 부상 당해서 뒷목 잡는데 슬슬 성적 좀 올라오니깐 
돌범호 또 지 멋대로 경기 운영하는거 보니깐 쌍으로 개빡치네,, 생각이란게 있으면 빨리 김선빈이라도 올려서 지명 넣을껀데 설마 니가 그렇게 하겠냐!!!
올스타 전까지 1경기라도 잡아야 될텐데, 하는 짓 보니까 스윕 당할 듯 ㅜㅜ1승 2패만 해도 대만족이다",2025-07-08T23:12:07Z,타이거즈 fa 희대의 먹튀 임기영 추잡스러워서 얘기 안할려고 했는데 경기 끝나고 덕아웃에 애들 데리고 오던데 어지간히 하고 프로야구 선수면 본인들 실력에나 집중해라하 씨브레 최형우도 부상 당해서 뒷목 잡는데 슬슬 성적 올라오니깐 돌범호 지 멋대로 경기 운영하는거 보니깐 쌍으로 개빡치네 생각이란게 있으면 빨리 김선빈이라도 올려서 지명 넣을껀데 니가 그렇게 하겠냐 올스타 전까지 1경기라도 잡아야 될텐데 하는 짓 보니까 스윕 당할 듯 ㅜㅜ1승 2패만 해도 대만족이다,negative
병살타 4갠데 노시환이 안친건 레전드긴하네 잘했다 시환아,2025-07-08T23:04:38Z,병살타 4갠데 노시환이 안친건 레전드긴하네 잘했다 시환아,positive
김태연 가끔 뇌없는 수비 너무 짜증난다,2025-07-08T23:03:38Z,김태연 가끔 뇌없는 수비 너무 짜증난다,neutral
윤영철이 다 말아먹음 ㅡㅡ,2025-07-08T23:03:22Z,윤영철이 다 말아먹음 ㅡㅡ,negative
???: 아~종수형~!!,2025-07-08T23:02:32Z,아종수형,positive
