단어,의미,감성
개꿀,긍정 표현,positive
꿀잼,긍정 표현,positive
찢었다,긍정 표현,positive
갓,긍정 표현,positive
존잘,긍정 표현,positive
존예,긍정 표현,positive
느좋,긍정 표현,positive
인정,긍정 표현,positive
레전드,긍정 표현,positive
존맛,긍정 표현,positive
맛도리,긍정 표현,positive
귀요미,긍정 표현,positive
폼미쳤다,긍정 표현,positive
오졌다,긍정 표현,positive
지린다,긍정 표현,positive
현웃,긍정 표현,positive
사이다,긍정 표현,positive
개사이다,긍정 표현,positive
신박하다,긍정 표현,positive
갓갓,긍정 표현,positive
국밥,긍정 표현,positive
띵작,긍정 표현,positive
덕분,긍정 표현,positive
노잼,부정 표현,negative
극혐,부정 표현,negative
망했다,부정 표현,negative
ㅂㅅ,부정 표현,negative
지랄,부정 표현,negative
ㅈㄹ,부정 표현,negative
ㅉㅉ,부정 표현,negative
개못함,부정 표현,negative
붐따,부정 표현,negative
ㅈ같다,부정 표현,negative
나가라,부정 표현,negative
한남,부정 표현,negative
꼴값,부정 표현,negative
발암,부정 표현,negative
빡치네,부정 표현,negative
환장,부정 표현,negative
비추,부정 표현,negative
쌉에바,부정 표현,negative
ㄹㅇ,중립 표현,neutral
ㅈㄴ,중립 표현,neutral
실화냐,중립 표현,neutral
헐,중립 표현,neutral
ㅎㄷㄷ,중립 표현,neutral
오우야,중립 표현,neutral
ㄷㄷ,중립 표현,neutral
머선129,중립 표현,neutral
어쩔티비,중립 표현,neutral
그와중에,중립 표현,neutral
하,중립 표현,neutral
ㅇㅈ,중립 표현,neutral
