text,published_at,cleaned,sentiment_pred
"악뮤 펜입니다.
음악은 사랑입니다.",2025-07-05 09:57:06+00:00,악뮤 음악 사랑,positive
조세먼짘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2025-07-04 06:05:22+00:00,조세 먼지 ㅋㅋㅋ,negative
유희열 보고 있나?,2025-06-25 10:04:51+00:00,유희열 보고,neutral
그리고 요즘 이런거슨 인스타 무물 객관식 투표로다가도 올리시요,2025-06-11 13:28:46+00:00,요즘 이렇다 인스타 무물 객관 투표 가도 올리다,neutral
하 이찬혁 매력학과 석사졸업했나보다진짜 너무좋다,2025-05-25 10:35:34+00:00,이찬혁 매력 학과 졸업 좋다,positive
멋져,2025-05-24 10:52:20+00:00,멋지다,positive
꺼무위키만 적혀도 성공한거라고 봐요,2025-05-24 08:59:42+00:00,끄다 위키 적히다 성공하다 보다,positive
악뮤는   그냥  KPOP 의  보물임.   지키고 보존해야할  자산임.,2025-05-19 17:43:56+00:00,악뮤 그냥 보물 지키다 보존 자산,neutral
"역시 해병대구만 ㅋㅋ씹마이웨이 좋다좋아 ㅋㅋㅋ
넌 해병대나왔으니 ㅋㅋ하고싶은거다해 찬혁아 ㅋㅋㅋㅋㅋㅋ
수만명에 해병이 널응원한다",2025-05-09 18:01:38+00:00,역시 해병대 구만 ㅋㅋ 씹다 마이웨이 좋다 좋다 ㅋㅋㅋ 해병대 나오다 ㅋㅋ 싶다 찬혁 ㅋㅋㅋ 수만 해병 응원,neutral
내가 아는 자기 입으로 위인 이야기를 하는... 사람은 노홍철 뿐이였는데...,2025-05-06 05:00:11+00:00,알다 위인 이야기 사람 노홍철,neutral
"수현씨 얼굴 너무 예뻐졌어요.
코디만 바꿔주세요.
슬럼프 빨리 극복하세요 ❤",2025-04-29 03:29:51+00:00,수현 얼굴 예쁘다 코디 바꾸다 슬럼프 빨리 극복,positive
"같은 노래안에서 서로 다른 모습을 보여주는 모습이 너무나 사랑스럽고, 고맙게도 생각됩니다.",2025-04-28 19:36:53+00:00,노랗다 서로 모습 보여주다 모습 너무나 사랑스럽다 고맙다 생각,positive
"자기 혼자만, 혼자 돈으로 하는거면 무대에서 뭔짓을 해도 노상관이지만 남의 돈이면 프로여야지.",2025-04-28 01:18:02+00:00,무대 해도 상관 프로 여야,negative
찬혁..자기하고싶은거 다하고사는거..묘하게 GD랑 비슷ㅋ 역시 둘다 ENTP답다👍,2025-04-27 10:48:44+00:00,찬혁 싶다 살다 비슷 역시 두다,neutral
찬혁 너무 김태호 피디 닮음 ㅋㅋ,2025-04-26 14:33:30+00:00,찬혁 김태호 피디 닮음 ㅋㅋ,neutral
수현씨 내가 힘들때 나의 큰위로의 힘이었어요 수현씨 노래 들으면 신기하게 맘이 편했었죠,2025-04-26 05:31:45+00:00,수현 힘들다 크다 위로 수현 노래 들다 신기하다 편하다,neutral
Subtitle please,2025-04-11 17:22:30+00:00,,neutral
악뮤 사랑해 영원하쟈❤❤❤,2025-04-04 00:54:19+00:00,악뮤 사랑 영원하다,positive
혼자 일어날 수 있는 나이인데 뭐~ㅋㅋㅋㅋㅋㅋ,2025-04-03 23:13:06+00:00,일어나다 나이 ㅋㅋㅋ,neutral
지디는 왜 유명한거야,2025-04-02 08:21:08+00:00,유명하다,positive
비타민. 수현이는 답이였다라는말이 정말 사랑스러운 존재구나 하면서 내딸이랑 겹쳐 보임,2025-03-31 10:46:40+00:00,비타민 수현 사랑스럽다 존재 구나 내딸 치다 보임,positive
진짜 그 자체가 장르다ㄷㄷ. 싸이같이,2025-03-31 02:31:24+00:00,자체 장르 ㄷㄷ 싸이,neutral
15:05에 나오는 노래 제목이 뭔가요 ㅠㅠㅠ,2025-03-23 16:34:44+00:00,1505 나오다 노래 제목 뭔가 ㅠㅠㅠ,negative
떠나지마 ㅠㅠ,2025-03-20 05:42:42+00:00,떠나다 ㅠㅠ,negative
예술적 재능이 뛰어난데 세상살이는 반대로 서툰사람들이 있는거 같아요 .. 세상살이를 노래만큼 잘할라고 하지는 마세요..그럴순 없어요 그럼 우린 어떻게 살아요?ㅋㅋㅋ 그리고 지금은 아는게 전부라고 생각하지마세요 .지금 이해가 안되거나 모르겠는건 좀더 두세요..때가 되면 알게될테니..그리고 지금 돌봄을 한껏 즐기세요 그들이 힘들때  한껏 돌봐줄수있게,2025-03-18 12:31:14+00:00,예술 재능 뛰어나다 세상 살이 반대 서툴다 사람 세상 살이 노래 말다 없다 우린 어떻다 살다 ㅋㅋㅋ 지금 알다 생각 말다 지금 이해 안되다 모르다 좀더 두세 지금 돌보다 한껏 즐기다 힘들다 한껏 돌보다,neutral
수현이 노래 미쳤어~~~!!!!,2025-03-18 03:47:56+00:00,수현 노래 미치다,neutral
이미. 위인임!!!!,2025-03-18 03:38:24+00:00,이미 위인,neutral
수현.. 항상 건강해..,2025-03-13 11:15:10+00:00,수현 항상 건강하다,positive
악뮤만한 노래가업따…❤,2025-03-11 03:27:53+00:00,악뮤 노래 가업 따다,neutral
찬혁이 ㄱㅇㅇ,2025-03-10 05:43:56+00:00,찬혁 ㄱㅇㅇ,neutral
해병대 찬혁은 힙합을 깔수있다!!,2025-03-07 16:35:52+00:00,해병대 찬혁 힙합 깔다,negative
"진짜 좋은 자매같아서 보기 좋아요 
늘 행복하시고 서로 챙겨주시고 좋은 밤에 좋은 동기를 얻어가요~",2025-03-07 13:46:26+00:00,좋다 자매 보기 좋다 행복하다 서로 챙기다 좋다 좋다 동기 얻다,positive
또 봐도 웃겨 ㅋㅋㅋ 왜케 웃기니 ㅋㅋㅋ,2025-03-06 14:54:06+00:00,보다 웃기다 ㅋㅋㅋ 이렇게 웃기다 ㅋㅋㅋ,neutral
수현아 잘 이겨내길 바랄께,2025-03-06 04:35:36+00:00,수현 자다 이기다 바라다,positive
멋있다 진짜....,2025-03-06 04:09:09+00:00,멋있다,positive
악뮤는 신이다..,2025-03-04 07:12:24+00:00,악뮤,neutral
악뮤러브,2025-03-03 09:13:01+00:00,악뮤 러브,neutral
해병대 후배라서 더 정이갑니다. 병역기피하는 사람도 있는데 해병대는 지원이니까!!!!,2025-02-27 21:38:42+00:00,해병대 후배 정이 가다 병역기피 사람 해병대 지원,negative
"약간 이젠 똥을 싸도 박수쳐줄 위치가 되서 가능한 발상과 마음가짐을 본인이 이해 못하고 있단 것은 안타까운 마음도 있음.
하고 싶은거 앞으로도 다 해도 될만큼 재능이 있는 사람이라 누구도 말릴 자격이 없지만 1000% 이상으로 프로페셔널 한 사람은 동생이란 진실은 알고 행하는 것이 중요하다고 봄",2025-02-25 15:57:35+00:00,싸다 박수 치다 위치 가능하다 발상 마음가짐 본인 이해 안타깝다 마음 싶다 해도 재능 사람 말리다 자격 없다 1000 프로 페셔널 사람 동생 진실 중요하다,neutral
"각자 서로의 답을 찾아가는거죠~
그게 인생이고 그런 서로를 인정하는게
중요한거죠~",2025-02-22 23:54:29+00:00,서로 찾아가다 그게 인생 서로 인정 중요하다,positive
"수현이 단독 인터뷰 보는데 왜케 눈물이 줄줄 나지. 많이 힘들었겠지, 어린 나이에. 고생 많았어, 애기들.",2025-02-22 14:06:40+00:00,수현 단독 인터뷰 보다 이렇게 눈물 줄줄 나다 힘들다 어리다 나이 고생 많다 애기,negative
맴버들끼리 싸우면 엄마한테 혼나는 그룹,2025-02-17 03:12:56+00:00,버들 끼리 싸우다 엄마 혼나다 그룹,negative
"내숭 이. 안돼
동생은 너를 다 알고있다. ㅡ멋진척은하지 못한다ㅡㅡ
 
점점 잘샹겨지네?",2025-02-16 12:33:59+00:00,내숭 돼다 동생 알다 진척 은하 ㅡㅡ 점점 잘샹겨지,neutral
성형안해서 젤좋음,2025-02-16 03:41:28+00:00,성형 안해 좋다,positive
프로가 중요한가.. 즐기자..정말 듣기좋은 말이네,2025-02-15 14:51:58+00:00,프로 중요하다 즐기다 듣기 좋다,positive
"악뮤는 지금 두사람이 가진 자세를 유지한다면, 찬혁이의 바램대로 k팝 역사에 영원히 남을 롤모델이 될거임.
어쩌면, 세계 팝음악사에서 기념비적인 인물들이 될거임.
카펜터스, 비틀즈, 마이클 잭슨 정도의 인물도 가능하리라 기대함.
아티스트로서의 성장기를 대중과 함께했으면서도, 대중과 동떨어지 않으며, 대중이 기대하는 것 이상을 항상 보여주려던 노력, 그리고 자신들의 음악의 방향이 어디로 향하고 있는지를 항상 고민하며, 더군다나 주도권을 한명이 모두 행사하는 솔로도 아닌, 항상 서로에게 소통해서 조율해야만하는 듀오라는 난이도를 생각하면...
k팝을 넘어서 세계 팝음악사에서 유일한 그들만의 위치를 가질 수 있다고 봄.

앞으로도 지금만큼 최선을 다해 주길 기대하고, 응원합니다.",2025-02-09 12:18:06+00:00,악뮤 지금 사람 가지다 자세 유지 찬혁이 바램 역사 영원하다 롤모델 어쩌면 세계 팝음악 기념비 인물 카펜터스 비틀즈 마이클 잭슨 정도 인물 가능하다 기대하다 아티스트 로서 성장기 대중 대중 동떨어지다 않다 대중 기대하다 항상 보여주다 노력 음악 방향 항상 고민 주도 행사 솔로 아니다 항상 서로 소통 조율 듀오 난이도 생각 넘어서다 세계 팝음악 유일하다 위치 가지다 지금 최선 다해 주다 기대하다 응원,positive
진짜 사랑스러운 둘❤❤,2025-02-07 03:09:30+00:00,사랑스럽다,positive
찬혁씨 힘내세요!,2025-02-04 17:14:03+00:00,찬혁씨 힘내다,neutral
위인전 될수있을듯 당신의음악이얼마나 위대한지 우리 8살아들이 빠져들었어요 ㅋ 더 놀라운 영감으로 진실의 메시지를 세상에 전하시길 기도해요!,2025-02-04 17:02:01+00:00,위인 음악 위대하다 아들 빠져들다 놀랍다 영감 진실 메시지 세상 기도,positive
천재 옆에. 천재 보컬이 있어서서. 좋네요...,2025-02-03 12:52:29+00:00,천재 천재 보컬 서서 좋다,positive
악뮤❤❤❤❤,2025-01-30 10:06:11+00:00,악뮤,neutral
오래오래 건강하게 잘 살았으면 좋겠어요~~ 악뮤 너무 좋아요,2025-01-28 14:56:28+00:00,오래오래 건강하다 자다 살다 좋다 악뮤 좋다,positive
훌륭한 노래들을 너무나 많이 만들었는데..정말 부담갖지 말고 편안히 노래만들고 뮤지션으로 지금처럼 활동 잘해줬으면 좋겠다~~그리고 위인전 정말 이해됩니다~^^,2025-01-28 10:44:57+00:00,훌륭하다 노래 너무나 만들다 부담 갖다 편안하다 노래 만들다 뮤지션 지금 활동 좋다 위인 이해,positive
진짜 사랑스런 남매 수현이 목소리는 천상의 목소리임 동나이대 원탑,2025-01-27 04:08:13+00:00,사랑스럽다 남매 수현 목소리 천상 목소리 나이,positive
조세먼지ㅋㅋㅋㅋ,2025-01-24 21:09:22+00:00,조세 먼지 ㅋㅋㅋ,negative
사는게 다들 고롭다 로또가 답이다 😭 😭,2025-01-24 12:45:02+00:00,살다 들다 고롭다 로또,neutral
각자의 어두움을 서로가 빛이 되어주는 소중한 가족❤ 자녀가 1명이면 느끼지 못했을 소중한 채움.,2025-01-21 08:34:19+00:00,어두움 서로 되어다 소중하다 가족 자녀 느끼다 소중하다 채우다,positive
나라가 어지러워서 머리 아프고 마음 답답하기 그지 없는데 악뮤보면서 웃고 힐링 합니다,2025-01-20 13:06:42+00:00,나라 어지럽다 머리 아프다 마음 답답하다 없다 악뮤 보다 웃다 힐링,negative
